ExperimentID,Tier,Pattern,HotAccessCount,ColdAccessInterval,NUMALocalAccess,NUMARemoteAccess,DRAMAccess,PMEMAccess,MinLatency,P50Latency,P99Latency,MaxLatency,MeanLatency,MigrationMinLatency,MigrationP50Latency,MigrationP99Latency,MigrationMaxLatency,MigrationMeanLatency,LocalToRemote,RemoteToLocal,PMEMToRemote,RemoteToPMEM,LocalToPMEM,PMEMToLocal,DRAMToPMEM,PMEMToDRAM,Throughput
86,2,"uniform,uniform,uniform",30,200,,,30000,0,25,36.57,148.939,3585,40.0495,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.49691e+07
87,2,"uniform,uniform,uniform",30,200,,,30000,0,24,36.0392,415.759,643,41.1255,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.43158e+07
88,2,"uniform,uniform,uniform",30,200,,,30000,0,25,36.0252,184.662,622,40.1124,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.493e+07
89,2,"uniform,uniform,uniform",30,200,,,30000,0,25,35.8438,196.972,520,35.5104,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.81608e+07
90,2,"uniform,uniform,uniform",30,200,,,30000,0,24,35.7812,52.1326,512,35.6378,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.80601e+07
91,2,"uniform,uniform,uniform",30,500,,,30000,0,25,36.3177,102.358,540,36.1964,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.76271e+07
92,2,"uniform,uniform,uniform",30,500,,,30000,0,25,35.902,153.677,3723,38.927,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.56891e+07
93,2,"uniform,uniform,uniform",30,500,,,30000,0,25,35.3151,55.3609,517,37.3102,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.68023e+07
94,2,"uniform,uniform,uniform",30,500,,,30000,0,25,36.4446,147.853,560,42.7916,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.33691e+07
95,2,"uniform,uniform,uniform",30,500,,,30000,0,24,35.8524,169.888,519,37.5967,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.65981e+07
96,2,"uniform,uniform,uniform",30,1000,,,30000,0,25,35.7613,146.137,481,41.4757,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.41105e+07
97,2,"uniform,uniform,uniform",30,1000,,,30000,0,25,654.686,8905.87,365419,789.091,18446744073709551615,0,0,0,-nan,,,,,,,0,0,1.26728e+06
98,2,"uniform,uniform,uniform",30,1000,,,30000,0,24,36.7189,140.866,26087,43.539,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.29679e+07
99,2,"uniform,uniform,uniform",30,1000,,,30000,0,24,35.7383,41.4994,519,34.5565,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.89381e+07
100,2,"uniform,uniform,uniform",30,1000,,,30000,0,25,35.9091,130.199,445,38.3584,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.60699e+07
101,2,"uniform,uniform,uniform",50,10,,,25787,4213,24,39.2121,882.904,7360,74.5121,24598,28174,38660.2,136571,28875,,,,,,,4125,0,247229
102,2,"uniform,uniform,uniform",50,10,,,11101,18899,24,38.7952,906.866,9507,103.005,23730,27591.2,43042.8,392018,28714.5,,,,,,,4322,0,235860
103,2,"uniform,uniform,uniform",50,10,,,21551,8449,25,40.6919,881.338,9807,79.9211,21259,25835,39514.2,219959,27016.8,,,,,,,4032,0,269471
104,2,"uniform,uniform,uniform",50,10,,,13720,16280,25,37.4353,750.179,9554,84.6325,21635,25908.9,41087.3,123202,27141.8,,,,,,,4087,0,264392
105,2,"uniform,uniform,uniform",50,10,,,18327,11673,25,40.0062,733.983,9906,84.8255,24115,27677.4,43673.5,659398,28685.6,,,,,,,4145,0,247022
106,2,"uniform,uniform,uniform",50,100,,,29969,31,25,35.912,56.7595,698,36.1249,25430,32772.4,45647,109365,36469.9,,,,,,,39,0,1.19709e+07
107,2,"uniform,uniform,uniform",50,100,,,29880,120,24,36.5594,462.974,820,38.9152,25278,27875.7,50950.2,122072,29578.9,,,,,,,103,0,7.11899e+06
108,2,"uniform,uniform,uniform",50,100,,,29966,34,25,35.9441,102.883,709,34.746,24666,34078.6,69036.6,107512,36676.3,,,,,,,48,0,1.07034e+07
109,2,"uniform,uniform,uniform",50,100,,,29903,97,25,36.8634,177.339,12949,45.4814,25246,38077.3,60988.8,123121,39585.2,,,,,,,73,0,7.05191e+06
110,2,"uniform,uniform,uniform",50,100,,,29880,120,25,34.899,181.986,864,36.6425,23779,29020.1,53539.2,118588,30538.7,,,,,,,87,0,7.98691e+06
111,2,"uniform,uniform,uniform",50,200,,,30000,0,24,35.655,167.875,4672,38.7681,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.57944e+07
112,2,"uniform,uniform,uniform",50,200,,,30000,0,25,35.7707,53.5419,444,35.3528,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.82863e+07
113,2,"uniform,uniform,uniform",50,200,,,30000,0,25,28.3204,4121.78,325032,683.322,18446744073709551615,0,0,0,-nan,,,,,,,0,0,1.46344e+06
114,2,"uniform,uniform,uniform",50,200,,,30000,0,24,35.8062,90.1763,512,34.4142,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.90578e+07
115,2,"uniform,uniform,uniform",50,200,,,30000,0,25,35.8985,190.502,486,40.3908,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.47581e+07
116,2,"uniform,uniform,uniform",50,500,,,30000,0,24,35.7078,55.2007,3760,36.7731,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.71938e+07
117,2,"uniform,uniform,uniform",50,500,,,30000,0,24,35.9529,179.598,440,38.3486,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.60766e+07
118,2,"uniform,uniform,uniform",50,500,,,30000,0,25,36.0777,167.237,3213,39.9819,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.50113e+07
119,2,"uniform,uniform,uniform",50,500,,,30000,0,24,35.9421,102.373,4317,35.0833,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.85036e+07
120,2,"uniform,uniform,uniform",50,500,,,30000,0,24,35.9948,145.969,12815,41.5515,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.40665e+07
121,2,"uniform,uniform,uniform",50,1000,,,30000,0,24,35.8884,92.0925,452,34.6977,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.88204e+07
122,2,"uniform,uniform,uniform",50,1000,,,30000,0,25,36.9094,409.528,536,41.9789,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.38215e+07
123,2,"uniform,uniform,uniform",50,1000,,,30000,0,23,36.1791,503.028,545,38.9882,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.56488e+07
124,2,"uniform,uniform,uniform",50,1000,,,30000,0,24,35.6299,68.4222,437,35.5556,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.8125e+07
125,2,"uniform,uniform,uniform",50,1000,,,30000,0,25,36.4022,139.663,522,39.3662,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.54025e+07
126,2,"uniform,uniform,skewed",1,10,,,17310,12690,24,42.5157,975.35,9924,101.576,21000,27367,37550.3,488555,28189.8,,,,,,,4186,2582,154770
127,2,"uniform,uniform,skewed",1,10,,,16769,13231,24,40.1757,876.924,7600,104.732,20913,25151.2,37704.3,387596,26427.6,,,,,,,4165,2584,165288
128,2,"uniform,uniform,skewed",1,10,,,26731,3269,24,37.8171,671.567,5154,63.5163,23729,27866.2,37462,246000,28663.1,,,,,,,4025,0,255810
129,2,"uniform,uniform,skewed",1,10,,,17570,12430,25,37.2202,797.097,10486,98.9666,20333,24858.6,42331.6,462042,26510.8,,,,,,,4177,2484,167078
130,2,"uniform,uniform,skewed",1,10,,,22609,7391,25,37.7278,693.006,8486,64.2811,20751,25042.4,42467.3,132252,26664,,,,,,,3976,1406,206279
